date,confirm,region
2020-10-28,229,Zaanstreek-Waterland
2020-10-29,279,Zaanstreek-Waterland
2020-10-30,205,Zaanstreek-Waterland
2020-10-31,189,Zaanstreek-Waterland
2020-11-01,132,Zaanstreek-Waterland
2020-11-02,232,Zaanstreek-Waterland
2020-11-03,131,Zaanstreek-Waterland
2020-11-04,116,Zaanstreek-Waterland
2020-11-05,190,Zaanstreek-Waterland
2020-11-06,162,Zaanstreek-Waterland
2020-11-07,190,Zaanstreek-Waterland
2020-11-08,100,Zaanstreek-Waterland
2020-11-09,102,Zaanstreek-Waterland
2020-11-10,69,Zaanstreek-Waterland
2020-11-11,159,Zaanstreek-Waterland
2020-11-12,111,Zaanstreek-Waterland
2020-11-13,142,Zaanstreek-Waterland
2020-11-14,89,Zaanstreek-Waterland
2020-11-15,90,Zaanstreek-Waterland
2020-11-16,98,Zaanstreek-Waterland
2020-11-17,88,Zaanstreek-Waterland
2020-11-18,125,Zaanstreek-Waterland
2020-11-19,130,Zaanstreek-Waterland
2020-11-20,81,Zaanstreek-Waterland
2020-11-21,121,Zaanstreek-Waterland
2020-11-22,101,Zaanstreek-Waterland
2020-11-23,65,Zaanstreek-Waterland
2020-11-24,77,Zaanstreek-Waterland
2020-11-25,83,Zaanstreek-Waterland
2020-11-26,76,Zaanstreek-Waterland
2020-11-27,64,Zaanstreek-Waterland
2020-11-28,120,Zaanstreek-Waterland
2020-11-29,88,Zaanstreek-Waterland
2020-11-30,69,Zaanstreek-Waterland
2020-12-01,92,Zaanstreek-Waterland
2020-12-02,77,Zaanstreek-Waterland
2020-12-03,158,Zaanstreek-Waterland
2020-12-04,114,Zaanstreek-Waterland
2020-12-05,180,Zaanstreek-Waterland
2020-12-06,121,Zaanstreek-Waterland
2020-12-07,109,Zaanstreek-Waterland
2020-12-08,122,Zaanstreek-Waterland
2020-12-09,110,Zaanstreek-Waterland
2020-12-10,143,Zaanstreek-Waterland
2020-12-11,123,Zaanstreek-Waterland
2020-12-12,170,Zaanstreek-Waterland
2020-12-13,222,Zaanstreek-Waterland
2020-12-14,127,Zaanstreek-Waterland
2020-12-15,179,Zaanstreek-Waterland
2020-12-16,207,Zaanstreek-Waterland
2020-12-17,172,Zaanstreek-Waterland
2020-12-18,309,Zaanstreek-Waterland
2020-12-19,200,Zaanstreek-Waterland
2020-12-20,187,Zaanstreek-Waterland
2020-12-21,157,Zaanstreek-Waterland
2020-12-22,134,Zaanstreek-Waterland
2020-12-23,192,Zaanstreek-Waterland
2020-12-24,261,Zaanstreek-Waterland
2020-12-25,228,Zaanstreek-Waterland
2020-12-26,180,Zaanstreek-Waterland
2020-12-27,86,Zaanstreek-Waterland
2020-12-28,116,Zaanstreek-Waterland
2020-12-29,87,Zaanstreek-Waterland
2020-12-30,225,Zaanstreek-Waterland
2020-12-31,233,Zaanstreek-Waterland
2021-01-01,208,Zaanstreek-Waterland
2021-01-02,153,Zaanstreek-Waterland
2020-08-01,3,Salzburg
2020-08-02,3,Salzburg
2020-08-03,2,Salzburg
2020-08-04,3,Salzburg
2020-08-05,1,Salzburg
2020-08-06,10,Salzburg
2020-08-07,3,Salzburg
2020-08-08,17,Salzburg
2020-08-09,2,Salzburg
2020-08-10,6,Salzburg
